Plants,Zone,Type,fuel1,StYr,RetrYr,Capacity,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,fuel2,Status,HeatRate2,MinUtilization,RETech,UnitSize,Error,HydroCapacityFactor,HydroCapacityFactorQ1,HydroCapacityFactorQ2,HydroCapacityFactorQ3,HydroCapacityFactorQ4
Acacia_TH_ZAF,South_Africa,GT,HFO,1976,2026,171,0.2,11.26101378,1,1,0,0.2,17000,4,0,0,30,,,0,,1,0,0,0,0,21230.66101,,,,,
Agg_THICE1_ZAR,DRC,ICE,HFO,2000,2050,20.7,0.06,10.41544727,1,1,0,0.4,8000,6.4,0,0,30,0,0,0,,1,0,0,0,0,12148.97545,,,,,
Agg_THICE2_ZAR,DRC,ICE,HFO,2000,2050,124.4,0.06,10.41544727,1,1,0,0.4,8000,6.4,0,0,30,0,0,0,,1,0,0,0,0,12252.67545,,,,,
AggDiesel_TH_MOZ,Mozambique,ICE,HFO,2000,2050,48,0.06,13.62126767,1,1,0,0.4,8000,6.4,0,0,30,,,0,,1,0,0,0,0,12172.48127,,,,,
Aggreko_IPP_ICE_MWI,Malawi,ICE,Diesel,2000,2019,0,0.2,10.98933842,0.15,0.15,0,0.2,46550,5.575,0,0,30,0,0,0,,1,0,0,0,0,50650.26434,,,,,
Aggreko_TH_MOZ,Mozambique,ICE,HFO,2000,2018,55,0.06,9.990938997,1,1,0,0.4,8000,6.4,0,0,30,,,0,,1,0,0,0,0,12143.85094,,,,,
AH_Cambambe_C1,Angola,ROR,Water,1962,2060,195,0,0,1,1,0,0.121826136,46500,0.55,0,0,50,,,0,,1,0,0,0,0,50794.67183,0.54,,,,
AH_Cambambe_C2,Angola,ROR,Water,2016,2060,700,0,0,1,1,0,0.121826136,46500,0.55,0,0,50,0,0,0,,1,0,0,0,0,51353.67183,0.35,,,,
AH_Capanda,Angola,ROR,Water,2004,2060,520,0,0,1,1,0,0.121826136,46500,0.55,0,0,50,,,0,,1,0,0,0,0,51161.67183,0.5,,,,
AH_Lauca,Angola,ROR,Water,2017,2060,2004,0,0,1,1,0,0.225,46500,0.55,0,0,50,0,0,0,,1,0,0,0,334,52658.775,0.35,,,,
Ah_Lauca_ECO,Angola,ROR,Water,2023,2060,0,0,0,1,1,0,0.225,46500,0.55,0,0,50,0,0,0,,1,0,0,0,0,50660.775,0.35,,,,
AH_Matala,Angola,ROR,Water,1959,2060,40.8,0,0,1,1,0,0.121826136,46500,0.55,0,0,50,,,0,,1,0,0,0,0,50637.47183,0.38,,,,
AngolaCCGTNG_TH_AGO,Angola,CCGT,LNG,2055,2105,0,0.45,6.4,1,1,0,0.07,6600,3.5,0,1.245080501,30,400,0,0,7,3,7.1,0.05,0,0,11245.81508,,,,,
AngolaDiesel_TH_AGO,Angola,ICE,HFO,2024,2054,0,0.06,10.41544727,1,1,0,0.4,8000,6.4,0,0.933810376,30,0,0,0,,3,0,0.06,0,0,12157.26926,,,,,
Anixas_TH_NAM,Namibia,ICE,HFO,2011,2061,22.5,0.06,10.41544727,1,1,0,0.4,8000,6.4,0,0,30,,,0,,1,0,0,0,0,12168.77545,,,,,
AnixasII_TH_NAM,Namibia,ICE,HFO,2024,2061,54,0.06,10.41544727,1,1,0,0.4,8000,6.4,0,0.933810376,30,,,0,,2,0,0,0,0,12215.20926,,,,,
Ankerlig(Atlantis)_TH_ZAF,South_Africa,GT,HFO,2007,2057,1327,0.2,9.39286647,1,1,0,0.2,17000,4,0,0,30,,,0,,1,0,0,0,0,22446.79287,,,,,
Arnot1_TH_ZAF,South_Africa,ST,Coal,1975,2027,1116,,9.584325504,,,,,,,,0,,,,0,,1,0,0.05,0,372,50174.97433,,,,,
Arnot2_TH_ZAF,South_Africa,ST,Coal,1975,2028,1116,,9.584325504,,,,,,,,0,,,,0,,1,0,0.05,0,372,50175.97433,,,,,
Athlone_TH_ZAF,South_Africa,ST,Coal,1962,2019,180,,10.10657267,,,,,,,,0,,,,0,,1,0,0.05,0,180,49218.49657,,,,,
Avon_TH_ZAF,South_Africa,GT,HFO,2015,2065,837.5,0.2,13.62107811,1,1,0,0.2,17000,4,0,0,30,,,0,,1,0,0,0,0,21977.52108,,,,,
Bagamoyo,Tanzania,CCGT,Gas,2028,2078,200,0.2,6.75,0.1,0.1,0,0.2,30000,4.5,0,1.2,30,200,200,0,,3,0,0.05,0,0,34766.1,,,,,
Bagasse_co-generation_BM_MWI,Malawi,ST,Biomass,2030,2060,60,0.3,10,0.9,0.9,0,0.01,100000,10,0,4.26,30,60,60,0,,3,0,0,0,0,104366.37,,,,,
BatokaGorgeNorth_HY_ZMB,Zambia,ROR,Water,2035,2060,1200,0,0,1,1,0,0.278070484,46500,0.55,0,1.699534884,50,400,1200,0,,3,0,0,0,0,53475.52761,0.55614968,0.567594269,0.567594269,0.54957494,0.54957494
BatokaGorgeSouth_HY_ZWE,Zimbabwe,ROR,Water,2035,2060,1200,0,0,1,1,0,0.275342466,46500,0.55,0,1.699534884,50,1200,1200,0,,3,0,0,0,0,54272.52488,0.556849316,0.76,0.38,0.38,0.76
Baynes(Angola)_HY_AGO,Angola,ROR,Water,2032,2072,430,0,0,1,1,0,0.121826136,46500,0.55,0,3.115813953,50,430,430,0,,3,0,0,0,0,51976.78764,0.38,,,,
Baynes(Namibia)_HY_NAM,Namibia,ROR,Water,2032,2060,300,0,0,1,1,0,0.175,46500,0.55,0,3.115813953,50,300,300,0,,3,0,0,0,0,51572.84081,0.35,,,,
Beloluane_TH_MOZ,Mozambique,GT,Gas,2016,2066,0,0.2,13.62126767,1,1,0,0.2,17000,4,0,0,30,,,0,7,1,14.32126767,0.4,0,0,21161.74254,,,,,
