c,z,attribute,y,uni,value
Benin,Benin,CapexInvestmentComponent,2026,Generation,42680000.0
Benin,Benin,CapexInvestmentComponent,2027,Generation,77242000.0
Benin,Benin,CapexInvestmentComponent,2027,StorageEnergy,6125841.79670188
Benin,Benin,CapexInvestmentComponent,2028,Generation,183330000.0
Benin,Benin,CapexInvestmentComponent,2028,StorageEnergy,2419982.0224332176
Benin,Benin,CapexInvestmentComponent,2029,Generation,119310000.0
Benin,Benin,CapexInvestmentComponent,2029,StorageEnergy,5031344.453438711
Benin,Benin,CapexInvestmentComponent,2030,Generation,207000000.0
Benin,Benin,CapexInvestmentComponent,2031,Generation,207000000.0
Benin,Benin,CapexInvestmentComponent,2032,Generation,97676542.95930682
Benin,Benin,CapexInvestmentComponent,2033,Generation,23919810.13295727
Benin,Benin,CapexInvestmentComponent,2034,Generation,23919810.13295671
Benin,Benin,CapexInvestmentComponent,2035,Generation,23656955.07655216
Benin,Benin,CapexInvestmentComponent,2040,Generation,71638449.35602456
Benin,Benin,CapexInvestmentComponent,2040,StorageEnergy,9251498.177267564
Benin,Benin,CapexInvestmentComponent,2045,Generation,96107130.21712124
Benin,Benin,CapexInvestmentComponent,2045,StorageEnergy,75115291.76279686
Benin,Benin,CapexInvestmentComponent,2050,Generation,377939970.1537082
Benin,Benin,CapexInvestmentComponent,2050,StorageEnergy,8389268.49
Benin,Benin,CapexInvestmentComponentCumulated,2026,Generation,42680000.0
Benin,Benin,CapexInvestmentComponentCumulated,2027,Generation,119922000.0
Benin,Benin,CapexInvestmentComponentCumulated,2027,StorageEnergy,6125841.79670188
Benin,Benin,CapexInvestmentComponentCumulated,2028,Generation,303252000.0
Benin,Benin,CapexInvestmentComponentCumulated,2028,StorageEnergy,8545823.819135098
Benin,Benin,CapexInvestmentComponentCumulated,2029,Generation,422562000.0
Benin,Benin,CapexInvestmentComponentCumulated,2029,StorageEnergy,13577168.27257381
Benin,Benin,CapexInvestmentComponentCumulated,2030,Generation,629562000.0
Benin,Benin,CapexInvestmentComponentCumulated,2031,Generation,836562000.0
Benin,Benin,CapexInvestmentComponentCumulated,2032,Generation,934238542.9593068
Benin,Benin,CapexInvestmentComponentCumulated,2033,Generation,958158353.092264
Benin,Benin,CapexInvestmentComponentCumulated,2034,Generation,982078163.2252208
Benin,Benin,CapexInvestmentComponentCumulated,2035,Generation,1005735118.301773
Benin,Benin,CapexInvestmentComponentCumulated,2040,Generation,1077373567.6577976
Benin,Benin,CapexInvestmentComponentCumulated,2040,StorageEnergy,22828666.449841373
Benin,Benin,CapexInvestmentComponentCumulated,2045,Generation,1173480697.8749187
Benin,Benin,CapexInvestmentComponentCumulated,2045,StorageEnergy,97943958.21263824
Benin,Benin,CapexInvestmentComponentCumulated,2050,Generation,1551420668.028627
Benin,Benin,CapexInvestmentComponentCumulated,2050,StorageEnergy,106333226.70263824
Burkina,Burkina,CapexInvestmentComponent,2026,Generation,181392000.0
Burkina,Burkina,CapexInvestmentComponent,2026,StorageEnergy,12457234.7295
Burkina,Burkina,CapexInvestmentComponent,2028,Generation,146664000.0
Burkina,Burkina,CapexInvestmentComponent,2028,StorageEnergy,16664469.45075
Burkina,Burkina,CapexInvestmentComponent,2029,Generation,146244172.52708554
Burkina,Burkina,CapexInvestmentComponent,2029,StorageEnergy,16749298.950017042
Burkina,Burkina,CapexInvestmentComponent,2030,Generation,124160000.0
Burkina,Burkina,CapexInvestmentComponent,2030,StorageEnergy,77188233.44452909
Burkina,Burkina,CapexInvestmentComponent,2031,Generation,219260994.3112522
Burkina,Burkina,CapexInvestmentComponent,2031,StorageEnergy,11462264.244677044
Burkina,Burkina,CapexInvestmentComponent,2032,Generation,365297062.07317686
Burkina,Burkina,CapexInvestmentComponent,2032,StorageEnergy,99656218.1101967
Burkina,Burkina,CapexInvestmentComponent,2033,Generation,185462458.6105016
Burkina,Burkina,CapexInvestmentComponent,2033,StorageEnergy,2622106.7761085043
Burkina,Burkina,CapexInvestmentComponent,2034,Generation,183139309.30633324
Burkina,Burkina,CapexInvestmentComponent,2034,StorageEnergy,3645571.756719095
Burkina,Burkina,CapexInvestmentComponent,2035,Generation,200002503.59984487
Burkina,Burkina,CapexInvestmentComponent,2035,StorageEnergy,997817.8615450072
Burkina,Burkina,CapexInvestmentComponent,2040,Generation,755042561.6449826
Burkina,Burkina,CapexInvestmentComponent,2040,StorageEnergy,253773123.2048456
Burkina,Burkina,CapexInvestmentComponent,2045,Generation,460402377.37059873
Burkina,Burkina,CapexInvestmentComponent,2045,StorageEnergy,264564114.3466616
Burkina,Burkina,CapexInvestmentComponent,2050,Generation,663373988.3482244
Burkina,Burkina,CapexInvestmentComponent,2050,StorageEnergy,297268032.720729
Burkina,Burkina,CapexInvestmentComponentCumulated,2026,Generation,181392000.0
Burkina,Burkina,CapexInvestmentComponentCumulated,2026,StorageEnergy,12457234.7295
Burkina,Burkina,CapexInvestmentComponentCumulated,2028,Generation,328056000.0
Burkina,Burkina,CapexInvestmentComponentCumulated,2028,StorageEnergy,29121704.18025
Burkina,Burkina,CapexInvestmentComponentCumulated,2029,Generation,474300172.5270856
Burkina,Burkina,CapexInvestmentComponentCumulated,2029,StorageEnergy,45871003.13026704
Burkina,Burkina,CapexInvestmentComponentCumulated,2030,Generation,598460172.5270855
Burkina,Burkina,CapexInvestmentComponentCumulated,2030,StorageEnergy,123059236.57479613
Burkina,Burkina,CapexInvestmentComponentCumulated,2031,Generation,817721166.8383378
Burkina,Burkina,CapexInvestmentComponentCumulated,2031,StorageEnergy,134521500.81947318
Burkina,Burkina,CapexInvestmentComponentCumulated,2032,Generation,1183018228.9115148
Burkina,Burkina,CapexInvestmentComponentCumulated,2032,StorageEnergy,234177718.92966983
Burkina,Burkina,CapexInvestmentComponentCumulated,2033,Generation,1368480687.5220163
Burkina,Burkina,CapexInvestmentComponentCumulated,2033,StorageEnergy,236799825.7057784
Burkina,Burkina,CapexInvestmentComponentCumulated,2034,Generation,1551619996.8283496
Burkina,Burkina,CapexInvestmentComponentCumulated,2034,StorageEnergy,240445397.46249744
Burkina,Burkina,CapexInvestmentComponentCumulated,2035,Generation,1751622500.4281943
Burkina,Burkina,CapexInvestmentComponentCumulated,2035,StorageEnergy,241443215.32404247
Burkina,Burkina,CapexInvestmentComponentCumulated,2040,Generation,2506665062.073177
Burkina,Burkina,CapexInvestmentComponentCumulated,2040,StorageEnergy,495216338.5288881
Burkina,Burkina,CapexInvestmentComponentCumulated,2045,Generation,2967067439.443776
Burkina,Burkina,CapexInvestmentComponentCumulated,2045,StorageEnergy,759780452.8755497
Burkina,Burkina,CapexInvestmentComponentCumulated,2050,Generation,3630441427.792
Burkina,Burkina,CapexInvestmentComponentCumulated,2050,StorageEnergy,1057048485.5962788
Gambia,Gambia,CapexInvestmentComponent,2026,Generation,128040000.0
Gambia,Gambia,CapexInvestmentComponent,2026,StorageEnergy,9814790.999
Gambia,Gambia,CapexInvestmentComponent,2027,StorageEnergy,4177765.2735
Gambia,Gambia,CapexInvestmentComponent,2028,Generation,33480000.0
Gambia,Gambia,CapexInvestmentComponent,2029,StorageEnergy,6553585.519138789
Gambia,Gambia,CapexInvestmentComponent,2030,Generation,44044000.0
Gambia,Gambia,CapexInvestmentComponent,2030,StorageEnergy,2664117.1503031496
Gambia,Gambia,CapexInvestmentComponent,2031,Generation,44044000.0
Gambia,Gambia,CapexInvestmentComponent,2031,StorageEnergy,13980375.625646591
Gambia,Gambia,CapexInvestmentComponent,2032,Generation,43472000.0
Gambia,Gambia,CapexInvestmentComponent,2032,StorageEnergy,10875748.910032077
Gambia,Gambia,CapexInvestmentComponent,2033,Generation,42900000.0
Gambia,Gambia,CapexInvestmentComponent,2033,StorageEnergy,11795819.926
Gambia,Gambia,CapexInvestmentComponent,2034,Generation,70264000.0
Gambia,Gambia,CapexInvestmentComponent,2034,StorageEnergy,101025009.5125338
Gambia,Gambia,CapexInvestmentComponent,2040,Generation,100298910.62210652
Gambia,Gambia,CapexInvestmentComponent,2045,Generation,254838118.4290305
Gambia,Gambia,CapexInvestmentComponent,2045,StorageEnergy,1720525.500565085
Gambia,Gambia,CapexInvestmentComponent,2050,Generation,203664153.2306229
Gambia,Gambia,CapexInvestmentComponent,2050,StorageEnergy,8549213.51208742
Gambia,Gambia,CapexInvestmentComponentCumulated,2026,Generation,128040000.0
Gambia,Gambia,CapexInvestmentComponentCumulated,2026,StorageEnergy,9814790.999
Gambia,Gambia,CapexInvestmentComponentCumulated,2027,StorageEnergy,13992556.2725
Gambia,Gambia,CapexInvestmentComponentCumulated,2028,Generation,161520000.0
Gambia,Gambia,CapexInvestmentComponentCumulated,2029,StorageEnergy,20546141.791638788
Gambia,Gambia,CapexInvestmentComponentCumulated,2030,Generation,205564000.0
Gambia,Gambia,CapexInvestmentComponentCumulated,2030,StorageEnergy,23210258.94194194
Gambia,Gambia,CapexInvestmentComponentCumulated,2031,Generation,249608000.0
